Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1,FernandoÿAbad*,30,2TM,4,1,0,0,0,0,0,0,0,0,0,0,0.496,0.5,0,0,0,abadfe01,FernandoÿAbad*,FernandoÿAbad,FernandoÿAbad,fernandoabad
2,Jos‚ÿAbreu,29,CHW,159,695,22,-3,-3,-1,-9,6,0.7,24,30,3.1,0.504,0.504,3.2,-1,31,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
3,A.J.ÿAchter,27,LAA,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,achteaj01,A.J.ÿAchter,A.J.ÿAchter,AJÿAchter,ajachter
4,DustinÿAckley*,28,NYY,28,70,-7,1,0,4,-1,-4,-0.4,3,-2,-0.2,0.485,0.497,-0.6,0.3,-5,ackledu01,DustinÿAckley*,DustinÿAckley,DustinÿAckley,dustinackley
5,CristhianÿAdames#,24,COL,121,256,-15,-1,1,-3,3,-15,-1.6,8,-7,-0.8,0.487,0.49,-0.5,-0.1,-4,adamecr01,CristhianÿAdames#,CristhianÿAdames,CristhianÿAdames,cristhianadames
7,MattÿAdams*,27,STL,118,327,3,-2,0,-1,-4,-4,-0.5,11,7,0.5,0.496,0.497,0.6,-0.5,8,adamsma01,MattÿAdams*,MattÿAdams,MattÿAdams,mattadams
8,TimÿAdleman,28,CIN,12,23,-2,0,0,0,3,2,0.1,0,2,0.1,0.513,0.501,0.2,0,2,adlemti01,TimÿAdleman,TimÿAdleman,TimÿAdleman,timadleman
9,EhireÿAdrianza#,26,SFG,40,71,-2,-1,0,-1,1,-3,-0.3,2,0,-0.1,0.493,0.498,0,0,1,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
10,Jes£sÿAguilar,26,CLE,9,6,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,0.475,0.499,-0.2,0,-2,aguilje01,JesusÿAguilar,JesusÿAguilar,JesusÿAguilar,jesusaguilar
11,NickÿAhmed,26,ARI,90,308,-25,1,0,15,4,-5,-0.6,10,5,0.4,0.494,0.497,-1.2,2,-10,ahmedni01,NickÿAhmed,NickÿAhmed,NickÿAhmed,nickahmed
13,MattÿAlbers*,33,CHW,4,1,1,0,0,0,0,1,0.1,0,1,0.1,0.529,0.501,0.1,0,1,alberma01,MattÿAlbers*,MattÿAlbers,MattÿAlbers,mattalbers
14,HanserÿAlberto,23,TEX,35,58,-10,-1,0,4,0,-8,-0.8,2,-6,-0.6,0.477,0.495,-1,0.4,-10,alberha01,HanserÿAlberto,HanserÿAlberto,HanserÿAlberto,hanseralberto
16,ArismendyÿAlc ntara#,24,OAK,16,19,-2,-1,0,-1,0,-4,-0.4,1,-3,-0.3,0.475,0.498,-0.2,-0.1,-2,alcanar01,ArismendyÿAlcantara#,ArismendyÿAlcantara,ArismendyÿAlcantara,arismendyalcantara
19,JorgeÿAlfaro,23,PHI,6,17,-3,0,0,-1,0,-4,-0.4,1,-3,-0.4,0.432,0.497,-0.3,-0.1,-2,alfarjo01,JorgeÿAlfaro,JorgeÿAlfaro,JorgeÿAlfaro,jorgealfaro
20,CodyÿAllen,27,CLE,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,allenco01,CodyÿAllen,CodyÿAllen,CodyÿAllen,codyallen
21,AbrahamÿAlmonte#,27,CLE,67,194,-5,2,0,5,-3,-1,-0.1,7,6,0.6,0.498,0.499,0.1,0.3,1,almonab01,AbrahamÿAlmonte#,AbrahamÿAlmonte,AbrahamÿAlmonte,abrahamalmonte
22,AlbertÿAlmora,22,CHC,47,117,1,1,-1,3,0,3,0.3,4,7,0.7,0.508,0.502,0.4,0.3,4,almoral01,AlbertÿAlmora,AlbertÿAlmora,AlbertÿAlmora,albertalmora
23,YonderÿAlonso*,29,OAK,156,532,-8,0,-1,-4,-8,-21,-2.1,19,-2,-0.2,0.486,0.487,0.2,-1.2,2,alonsyo01,YonderÿAlonso*,YonderÿAlonso,YonderÿAlonso,yonderalonso
25,AaronÿAltherr,25,PHI,57,227,-9,0,0,3,-2,-8,-0.9,7,-1,-0.2,0.485,0.495,-0.5,0.1,-4,altheaa01,AaronÿAltherr,AaronÿAltherr,AaronÿAltherr,aaronaltherr
26,JoseÿAltuve,26,HOU,161,717,48,3,0,0,3,53,5.5,25,78,7.9,0.533,0.533,7.9,0.4,78,altuvjo01,JoseÿAltuve,JoseÿAltuve,JoseÿAltuve,josealtuve
27,Darielÿ?lvarez,27,BAL,2,4,1,0,0,0,0,1,0.1,0,1,0.1,0.555,0.501,0.1,0,1,alvarda02,DarielÿAlvarez,DarielÿAlvarez,DarielÿAlvarez,darielalvarez
28,Darioÿ?lvarez*,27,2TM,17,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alvarda01,DarioÿAlvarez*,DarioÿAlvarez,DarioÿAlvarez,darioalvarez
29,Jos‚ÿ?lvarez*,27,LAA,3,1,0,0,0,0,0,0,0,0,0,0,0.496,0.5,0,0,0,alvarjo02,JoseÿAlvarez*,JoseÿAlvarez,JoseÿAlvarez,josealvarez
30,Pedroÿ?lvarez*,29,BAL,109,376,6,0,1,-3,-8,-5,-0.4,13,9,0.9,0.496,0.497,1.2,-1.1,12,alvarpe01,PedroÿAlvarez*,PedroÿAlvarez,PedroÿAlvarez,pedroalvarez
31,AlexiÿAmarista*,27,SDP,65,150,-9,1,1,-3,1,-9,-1,5,-5,-0.6,0.485,0.494,-0.3,-0.2,-2,amarial01,AlexiÿAmarista*,AlexiÿAmarista,AlexiÿAmarista,alexiamarista
32,BrettÿAnderson*,28,LAD,4,3,-1,0,0,0,0,0,0,0,0,0,0.49,0.5,0,0,0,anderbr04,BrettÿAnderson*,BrettÿAnderson,BrettÿAnderson,brettanderson
33,ChaseÿAnderson,28,MIL,28,52,-10,0,0,0,8,-2,-0.2,0,-2,-0.2,0.492,0.499,-0.2,0,-2,anderch01,ChaseÿAnderson,ChaseÿAnderson,ChaseÿAnderson,chaseanderson
35,TimÿAnderson,23,CHW,99,431,0,0,-1,3,5,8,0.9,15,23,2.4,0.508,0.505,2,0.9,20,anderti01,TimÿAnderson,TimÿAnderson,TimÿAnderson,timanderson
36,TylerÿAnderson*,26,COL,20,42,-6,-1,0,0,6,0,0,0,0,0,0.501,0.5,0,0,0,anderty01,TylerÿAnderson*,TylerÿAnderson,TylerÿAnderson,tyleranderson
37,RobertÿAndino,32,MIA,13,24,-1,0,0,0,0,-2,-0.2,1,-1,-0.1,0.487,0.499,-0.1,0,-1,andinro01,RobertÿAndino,RobertÿAndino,RobertÿAndino,robertandino
38,MattÿAndriese,26,TBR,1,1,0,0,0,0,0,0,0,0,0,0,0.486,0.5,0,0,0,andrima01,MattÿAndriese,MattÿAndriese,MattÿAndriese,mattandriese
39,ElvisÿAndrus,27,TEX,147,568,11,2,-2,-11,8,8,0.9,20,28,2.9,0.506,0.505,4.1,-0.2,39,andruel01,ElvisÿAndrus,ElvisÿAndrus,ElvisÿAndrus,elvisandrus
41,NoriÿAoki*,34,SEA,118,467,6,-3,2,-2,-3,0,0.1,17,16,1.7,0.5,0.5,1.9,-0.5,18,aokino01,NoriÿAoki*,NoriÿAoki,NoriÿAoki,noriaoki
42,JaysonÿAquino*,23,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,aquinja01,JaysonÿAquino*,JaysonÿAquino,JaysonÿAquino,jaysonaquino
43,ElvisÿAra£jo*,24,PHI,31,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,araujel01,ElvisÿAraujo*,ElvisÿAraujo,ElvisÿAraujo,elvisaraujo
44,ChrisÿArcher,27,TBR,3,8,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,0.481,0.5,-0.1,0,-1,archech01,ChrisÿArcher,ChrisÿArcher,ChrisÿArcher,chrisarcher
45,OrlandoÿArcia,21,MIL,55,216,-10,1,0,4,3,-3,-0.4,7,4,0.3,0.494,0.498,-0.1,0.7,0,arciaor01,OrlandoÿArcia,OrlandoÿArcia,OrlandoÿArcia,orlandoarcia
46,OswaldoÿArcia*,25,4TM,69,222,-9,0,0,-7,-3,-19,-1.9,8,-11,-1.1,0.472,0.496,-0.4,-1,-4,arciaos01,OswaldoÿArcia*,OswaldoÿArcia,OswaldoÿArcia,oswaldoarcia
47,NolanÿArenado,25,COL,160,696,24,0,-2,13,3,38,3.8,22,60,5.9,0.525,0.524,4.6,1.7,47,arenano01,NolanÿArenado,NolanÿArenado,NolanÿArenado,nolanarenado
50,JakeÿArrieta,30,CHC,27,70,-1,-1,0,0,10,8,0.8,0,8,0.8,0.53,0.505,0.8,0,8,arrieja01,JakeÿArrieta,JakeÿArrieta,JakeÿArrieta,jakearrieta
