Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1,FernandoÿAbad*,31,BOS,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,abadfe01,FernandoÿAbad*,FernandoÿAbad,FernandoÿAbad,fernandoabad
2,Jos‚ÿAbreu,30,CHW,156,675,35,1,-2,1,-9,26,2.6,24,49,4.9,0.516,0.516,4.8,-0.8,48,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
3,CristhianÿAdames#,25,COL,12,14,-4,0,0,-1,0,-4,-0.5,0,-4,-0.4,0.462,0.497,-0.3,-0.1,-3,adamecr01,CristhianÿAdames#,CristhianÿAdames,CristhianÿAdames,cristhianadames
4,AustinÿAdams,26,WSN,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adamsau02,AustinÿAdams,AustinÿAdams,AustinÿAdams,austinadams
5,LaneÿAdams,27,ATL,85,122,1,2,0,-3,-1,0,-0.1,4,4,0.3,0.5,0.5,0.6,-0.4,7,adamsla01,LaneÿAdams,LaneÿAdams,LaneÿAdams,laneadams
6,MattÿAdams*,28,2TM,131,367,3,-2,0,-6,-4,-9,-1,12,3,0.2,0.493,0.497,0.8,-1.1,9,adamsma01,MattÿAdams*,MattÿAdams,MattÿAdams,mattadams
7,JimÿAdduci*,32,DET,29,93,0,0,0,1,-1,0,0,3,4,0.3,0.501,0.5,0.2,0,2,adducji02,JimÿAdduci*,JimÿAdduci,JimÿAdduci,jimadduci
8,TimÿAdleman,29,CIN,27,32,-6,0,1,0,5,-1,-0.1,0,-1,-0.1,0.498,0.5,-0.1,0,-1,adlemti01,TimÿAdleman,TimÿAdleman,TimÿAdleman,timadleman
9,EhireÿAdrianza#,27,MIN,70,186,-4,1,1,-1,1,-2,-0.2,7,4,0.4,0.497,0.499,0.5,0,5,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
10,Jes£sÿAguilar,27,MIL,133,311,5,0,0,-1,-3,0,0,10,10,0.9,0.5,0.5,1.1,-0.5,11,aguilje01,JesusÿAguilar,JesusÿAguilar,JesusÿAguilar,jesusaguilar
11,NickÿAhmed,27,ARI,53,178,-7,-1,-1,6,2,0,-0.1,6,6,0.5,0.499,0.5,-0.1,0.8,-1,ahmedni01,NickÿAhmed,NickÿAhmed,NickÿAhmed,nickahmed
12,AndrewÿAlbers,31,SEA,1,3,1,0,0,0,0,2,0.2,0,2,0.2,0.65,0.501,0.2,0,2,alberan01,AndrewÿAlbers,AndrewÿAlbers,AndrewÿAlbers,andrewalbers
13,MattÿAlbers*,34,WSN,59,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alberma01,MattÿAlbers*,MattÿAlbers,MattÿAlbers,mattalbers
14,OzzieÿAlbies#,20,ATL,57,244,2,1,0,1,2,6,0.6,8,14,1.3,0.511,0.504,1.2,0.2,13,albieoz01,OzzieÿAlbies#,OzzieÿAlbies,OzzieÿAlbies,ozziealbies
15,AlÿAlburquerque,31,2TM,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,albural01,AlÿAlburquerque,AlÿAlburquerque,AlÿAlburquerque,alalburquerque
16,ArismendyÿAlc ntara#,25,CIN,70,108,-14,0,0,5,0,-8,-0.9,4,-5,-0.5,0.488,0.495,-1.1,0.5,-10,alcanar01,ArismendyÿAlcantara#,ArismendyÿAlcantara,ArismendyÿAlcantara,arismendyalcantara
18,SandyÿAlc ntara,21,STL,8,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alcansa01,SandyÿAlcantara,SandyÿAlcantara,SandyÿAlcantara,sandyalcantara
20,ScottÿAlexander*,27,KCR,4,3,-1,0,0,0,0,0,0,0,0,0,0.491,0.5,0,0,0,alexasc02,ScottÿAlexander*,ScottÿAlexander,ScottÿAlexander,scottalexander
21,JorgeÿAlfaro,24,PHI,29,114,5,0,1,-3,2,4,0.4,4,8,0.7,0.513,0.502,1,-0.1,11,alfarjo01,JorgeÿAlfaro,JorgeÿAlfaro,JorgeÿAlfaro,jorgealfaro
22,AnthonyÿAlford,22,TOR,4,8,-1,0,0,3,0,2,0.2,0,2,0.2,0.551,0.501,-0.1,0.3,-1,alforan01,AnthonyÿAlford,AnthonyÿAlford,AnthonyÿAlford,anthonyalford
23,CodyÿAllen,28,CLE,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,allenco01,CodyÿAllen,CodyÿAllen,CodyÿAllen,codyallen
24,GregÿAllen#,24,CLE,25,39,-2,1,1,-2,0,-3,-0.3,1,-2,-0.2,0.488,0.498,0,-0.2,0,allengr01,GregÿAllen#,GregÿAllen,GregÿAllen,gregallen
