Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names ,clean_end,no_period,clean_name 
1,FernandoÿAbad*,33,SFG,18,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,abadfe01,FernandoÿAbad*,FernandoÿAbad,FernandoÿAbad,fernandoabad
3,Jos‚ÿAbreu,32,CHW,159,693,16,-2,-2,-3,-10,-1,0.1,24,23,2.5,0.499,0.499,2.6,-1.1,26,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
4,RonaldÿAcu¤aÿJr.,21,ATL,156,715,23,5,0,6,-1,34,3,21,55,5.1,0.521,0.521,4.7,0.4,49,acunaro01,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr,ronaldacunajr
5,JasonÿAdam,27,TOR,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adamja01,JasonÿAdam,JasonÿAdam,JasonÿAdam,jasonadam
6,CristhianÿAdames#,27,SFG,10,24,0,0,0,1,0,1,0.1,1,2,0.2,0.515,0.501,0.1,0.1,1,adamecr01,CristhianÿAdames#,CristhianÿAdames,CristhianÿAdames,cristhianadames
7,WillyÿAdames,23,TBR,152,584,-1,2,1,8,8,18,2,21,39,3.9,0.511,0.511,3,1.7,31,adamewi01,WillyÿAdames,WillyÿAdames,WillyÿAdames,willyadames
8,AustinÿAdams,32,2TM,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adamsau01,AustinÿAdams,AustinÿAdams,AustinÿAdams,austinadams
9,AustinÿAdams,28,2TM,4,1,0,0,0,0,0,0,0,0,0,0,0.497,0.5,0,0,0,adamsau02,AustinÿAdams,AustinÿAdams,AustinÿAdams,austinadams
11,MattÿAdams*,30,WSN,111,333,-7,0,0,7,-4,-4,-0.5,11,7,0.5,0.497,0.498,-0.1,0.2,0,adamsma01,MattÿAdams*,MattÿAdams,MattÿAdams,mattadams
12,JimÿAdduci*,34,CHC,2,5,-1,0,0,1,0,-1,-0.1,0,0,0,0.473,0.5,-0.1,0.1,-1,adducji02,JimÿAdduci*,JimÿAdduci,JimÿAdduci,jimadduci
13,EhireÿAdrianza#,29,MIN,83,236,3,0,1,-4,0,0,0.1,8,8,0.9,0.5,0.5,1.2,-0.2,12,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
14,DarioÿAgrazal,24,PIT,14,24,-4,0,0,0,4,0,-0.1,0,0,-0.1,0.497,0.5,0,0,0,agrazda01,DarioÿAgrazal,DarioÿAgrazal,DarioÿAgrazal,darioagrazal
15,Jes£sÿAguilar,29,2TM,131,369,-6,-2,-2,0,-5,-14,-1.5,12,-2,-0.3,0.489,0.494,-0.3,-0.5,-2,aguilje01,JesusÿAguilar,JesusÿAguilar,JesusÿAguilar,jesusaguilar
16,NickÿAhmed,29,ARI,158,625,-3,4,-1,16,8,25,2.2,20,45,4.2,0.516,0.515,2.8,2.3,29,ahmedni01,NickÿAhmed,NickÿAhmed,NickÿAhmed,nickahmed
17,R.J.ÿAlaniz,28,2TM,8,1,0,0,0,0,0,1,0.1,0,1,0.1,0.508,0.5,0.1,0,1,alanirj01,R.J.ÿAlaniz,R.J.ÿAlaniz,RJÿAlaniz,rjalaniz
18,MattÿAlbers*,36,MIL,63,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.1,0,alberma01,MattÿAlbers*,MattÿAlbers,MattÿAlbers,mattalbers
19,HanserÿAlberto,26,BAL,139,550,4,0,-1,7,3,14,1.6,20,34,3.5,0.51,0.509,2.7,1.2,27,alberha01,HanserÿAlberto,HanserÿAlberto,HanserÿAlberto,hanseralberto
20,OzzieÿAlbies#,22,ATL,160,702,14,1,2,9,4,31,2.8,22,53,4.9,0.519,0.519,4.2,1.2,43,albieoz01,OzzieÿAlbies#,OzzieÿAlbies,OzzieÿAlbies,ozziealbies
22,SandyÿAlc ntara,23,MIA,31,63,-12,0,0,0,10,-2,-0.2,0,-2,-0.2,0.493,0.499,-0.2,0,-2,alcansa01,SandyÿAlcantara,SandyÿAlcantara,SandyÿAlcantara,sandyalcantara
23,VictorÿAlc ntara,26,DET,7,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alcanvi01,VictorÿAlcantara,VictorÿAlcantara,VictorÿAlcantara,victoralcantara
24,ScottÿAlexander*,29,LAD,27,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alexasc02,ScottÿAlexander*,ScottÿAlexander,ScottÿAlexander,scottalexander
26,JorgeÿAlfaro,26,MIA,130,465,-3,-4,0,-4,7,-3,-0.5,15,13,1,0.498,0.498,1.6,0.2,17,alfarjo01,JorgeÿAlfaro,JorgeÿAlfaro,JorgeÿAlfaro,jorgealfaro
27,AnthonyÿAlford,24,TOR,16,30,-3,1,0,0,-1,-2,-0.2,1,-1,-0.1,0.485,0.499,-0.1,0,-1,alforan01,AnthonyÿAlford,AnthonyÿAlford,AnthonyÿAlford,anthonyalford
28,KolbyÿAllard*,21,TEX,1,2,-1,0,0,0,0,0,0,0,0,0,0.471,0.5,0,0,0,allarko01,KolbyÿAllard*,KolbyÿAllard,KolbyÿAllard,kolbyallard
29,AustinÿAllen*,25,SDP,34,71,-6,0,0,0,1,-5,-0.6,2,-3,-0.3,0.485,0.497,-0.3,0.1,-3,allenau01,AustinÿAllen*,AustinÿAllen,AustinÿAllen,austinallen
30,CodyÿAllen,30,LAA,1,1,0,0,0,0,0,0,0,0,0,0,0.487,0.5,0,0,0,allenco01,CodyÿAllen,CodyÿAllen,CodyÿAllen,codyallen
31,GregÿAllen#,26,CLE,89,256,-10,0,1,4,-3,-7,-0.6,9,2,0.3,0.492,0.496,-0.2,0.2,-2,allengr01,GregÿAllen#,GregÿAllen,GregÿAllen,gregallen
32,LoganÿAllen,22,2TM,7,5,0,0,0,0,1,1,0.1,0,1,0.1,0.509,0.5,0.1,0,1,allenlo01,LoganÿAllen,LoganÿAllen,LoganÿAllen,loganallen
33,AbrahamÿAlmonte#,30,ARI,17,38,2,1,0,1,0,4,0.4,1,5,0.5,0.523,0.502,0.4,0.1,4,almonab01,AbrahamÿAlmonte#,AbrahamÿAlmonte,AbrahamÿAlmonte,abrahamalmonte
34,YencyÿAlmonte,25,COL,27,5,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,0.497,0.5,-0.1,0,-1,almonye01,YencyÿAlmonte,YencyÿAlmonte,YencyÿAlmonte,yencyalmonte
35,AlbertÿAlmora,25,CHC,130,363,-15,0,0,-3,2,-17,-1.9,12,-5,-0.7,0.487,0.489,-0.3,-0.2,-2,almoral01,AlbertÿAlmora,AlbertÿAlmora,AlbertÿAlmora,albertalmora
36,PeteÿAlonso,24,NYM,161,693,44,0,0,1,-8,37,3.3,22,59,5.5,0.523,0.522,5.6,-0.9,58,alonspe01,PeteÿAlonso,PeteÿAlonso,PeteÿAlonso,petealonso
37,YonderÿAlonso*,32,2TM,121,335,-12,0,-2,-2,-6,-22,-2.1,12,-10,-1,0.482,0.493,-0.8,-0.7,-8,alonsyo01,YonderÿAlonso*,YonderÿAlonso,YonderÿAlonso,yonderalonso
38,DanÿAltavilla,26,SEA,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,altavda01,DanÿAltavilla,DanÿAltavilla,DanÿAltavilla,danaltavilla
39,AaronÿAltherr,28,3TM,49,66,-10,0,0,1,0,-10,-1,2,-8,-0.8,0.48,0.497,-0.9,0,-9,altheaa01,AaronÿAltherr,AaronÿAltherr,AaronÿAltherr,aaronaltherr
