Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
2,CJÿAbrams*,21,2TM,90,302,-9,-1,1,-5,4,-9,-0.9,10,1,0.489,0.497,0.6,-0.1,6,abramcj01,CJÿAbrams*,CJÿAbrams,CJÿAbrams,cjabrams
3,AlbertÿAbreu,26,3TM,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,abreual01,AlbertÿAbreu,AlbertÿAbreu,AlbertÿAbreu,albertabreu
5,Jos‚ÿAbreu,35,CHW,157,679,28,1,-2,1,-9,20,2.1,23,42,0.513,0.513,4.2,-0.9,41,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
7,RonaldÿAcu¤aÿJr.,24,ATL,119,533,9,5,0,0,-5,8,1,17,25,0.507,0.505,2.5,-0.5,25,acunaro01,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr,ronaldacunajr
9,WillyÿAdames,26,MIL,139,617,5,-1,0,9,8,22,2.4,20,42,0.517,0.514,3.3,1.9,33,adamewi01,WillyÿAdames,WillyÿAdames,WillyÿAdames,willyadames
11,RileyÿAdams,26,WSN,48,155,-6,-2,0,0,3,-5,-0.5,5,1,0.49,0.497,0,0.3,1,adamsri03,RileyÿAdams,RileyÿAdams,RileyÿAdams,rileyadams
12,JoÿAdell,23,LAA,88,285,-8,-1,-1,-1,-3,-14,-1.5,10,-4,0.483,0.491,-0.4,-0.5,-3,adelljo01,JoÿAdell,JoÿAdell,JoÿAdell,joadell
14,EhireÿAdrianza#,32,2TM,37,110,-8,0,1,-1,0,-8,-0.8,4,-4,0.477,0.496,-0.4,-0.1,-3,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
15,Jes£sÿAguilar,32,2TM,129,507,-9,-2,-2,-4,-8,-25,-2.6,17,-8,0.479,0.487,-0.6,-1.3,-4,aguilje01,JesusÿAguilar,JesusÿAguilar,JesusÿAguilar,jesusaguilar
16,RyanÿAguilar*,27,LAA,7,26,-2,0,0,-1,0,-4,-0.4,1,-3,0.44,0.497,-0.2,-0.1,-2,aguilry01,RyanÿAguilar*,RyanÿAguilar,RyanÿAguilar,ryanaguilar
17,NickÿAhmed,32,ARI,17,54,0,0,0,-3,1,-2,-0.2,2,-1,0.485,0.498,0.2,-0.2,2,ahmedni01,NickÿAhmed,NickÿAhmed,NickÿAhmed,nickahmed
19,HanserÿAlberto,29,LAD,73,159,-4,-1,-1,1,1,-4,-0.4,5,1,0.494,0.497,-0.1,0.2,0,alberha01,HanserÿAlberto,HanserÿAlberto,HanserÿAlberto,hanseralberto
20,OzzieÿAlbies#,25,ATL,64,269,-4,0,2,-1,2,-1,-0.1,9,8,0.498,0.499,0.9,0.1,9,albieoz01,OzzieÿAlbies#,OzzieÿAlbies,OzzieÿAlbies,ozziealbies
23,SergioÿAlc ntara#,25,2TM,93,224,-7,0,0,-4,3,-8,-0.8,8,-1,0.491,0.497,0.3,-0.1,4,alcanse01,SergioÿAlcantara#,SergioÿAlcantara,SergioÿAlcantara,sergioalcantara
25,ScottÿAlexander*,32,SFG,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alexasc02,ScottÿAlexander*,ScottÿAlexander,ScottÿAlexander,scottalexander
28,JorgeÿAlfaro,29,SDP,82,274,-4,1,0,-2,4,-2,-0.1,9,8,0.498,0.499,1,0.2,10,alfarjo01,JorgeÿAlfaro,JorgeÿAlfaro,JorgeÿAlfaro,jorgealfaro
29,AnthonyÿAlford,27,PIT,2,4,0,0,0,0,0,0,-0.1,0,0,0.476,0.5,0,0,0,alforan01,AnthonyÿAlford,AnthonyÿAlford,AnthonyÿAlford,anthonyalford
32,AustinÿAllen*,28,OAK,5,16,-2,0,0,2,0,0,0,1,0,0.495,0.5,-0.2,0.3,-2,allenau01,AustinÿAllen*,AustinÿAllen,AustinÿAllen,austinallen
33,GregÿAllen#,29,PIT,46,134,-7,2,0,2,-1,-5,-0.5,5,0,0.489,0.497,-0.3,0.1,-2,allengr01,GregÿAllen#,GregÿAllen,GregÿAllen,gregallen
35,NickÿAllen,23,OAK,100,326,-14,-1,0,10,5,0,0,11,12,0.5,0.5,0.1,1.6,2,allenni02,NickÿAllen,NickÿAllen,NickÿAllen,nickallen
36,AbrahamÿAlmonte#,33,BOS,15,37,0,1,0,-2,0,-1,-0.2,1,0,0.49,0.499,0.2,-0.2,2,almonab01,AbrahamÿAlmonte#,AbrahamÿAlmonte,AbrahamÿAlmonte,abrahamalmonte
38,AlbertÿAlmora,28,CIN,64,235,-8,-1,0,8,-1,-2,-0.2,8,6,0.497,0.499,-0.3,0.8,-2,almoral01,AlbertÿAlmora,AlbertÿAlmora,AlbertÿAlmora,albertalmora
39,PeteÿAlonso,27,NYM,160,685,32,-1,0,-2,-9,21,2.3,23,44,0.513,0.513,4.6,-1.1,46,alonspe01,PeteÿAlonso,PeteÿAlonso,PeteÿAlonso,petealonso
40,JoseÿAltuve,32,HOU,141,604,41,2,-2,-15,4,31,3.2,20,52,0.523,0.52,6.9,-1.2,67,altuvjo01,JoseÿAltuve,JoseÿAltuve,JoseÿAltuve,josealtuve
41,Jos‚ÿAlvarado*,27,PHI,1,1,0,0,0,0,0,0,0,0,0,0.49,0.5,0,0,0,alvarjo03,JoseÿAlvarado*,JoseÿAlvarado,JoseÿAlvarado,josealvarado
42,EddyÿAlvarez*,32,LAD,14,27,-4,0,0,-1,0,-5,-0.6,1,-4,0.46,0.497,-0.4,-0.1,-3,alvared01,EddyÿAlvarez*,EddyÿAlvarez,EddyÿAlvarez,eddyalvarez
43,FranciscoÿAlvarez,20,NYM,5,14,0,0,0,0,0,0,0,0,0,0.496,0.5,0,0,0,alvarfr01,FranciscoÿAlvarez,FranciscoÿAlvarez,FranciscoÿAlvarez,franciscoalvarez
46,YordanÿAlvarez*,25,HOU,135,561,51,0,-1,5,-8,47,5,19,66,0.537,0.531,6.4,-0.4,61,alvaryo01,YordanÿAlvarez*,YordanÿAlvarez,YordanÿAlvarez,yordanalvarez
