Rk	Name	Age	Tm	G	PA	Rbat	Rbaser	Rdp	Rfield	Rpos	RAA	WAA	Rrep	RAR	WAR	waaWL%	162WL%	oWAR	dWAR	oRAR	Name-additional	no_accent_names	clean_end	no_period	clean_name
1	CJÿAbrams*	22	WSN	151	614	-5	4	3	4	9	14	1.4	21	35	3.4	0.509	0.509	3	1.3	31	abramcj01	CJÿAbrams*	CJÿAbrams	CJÿAbrams	cjabrams
2	Jos‚ÿAbreu	36	HOU	141	594	-8	-2	-1	-1	-7	-19	-1.9	20	1	0	0.486	0.488	0.1	-0.8	2	abreujo02	JoseÿAbreu	JoseÿAbreu	JoseÿAbreu	joseabreu
3	WilyerÿAbreu*	24	BOS	28	85	3	0	0	2	0	5	0.5	3	8	0.8	0.517	0.503	0.6	0.2	6	abreuwi02	WilyerÿAbreu*	WilyerÿAbreu	WilyerÿAbreu	wilyerabreu
4	RonaldÿAcu¤aÿJr.	25	ATL	159	735	63	7	-1	-2	-5	63	6.1	23	86	8.2	0.538	0.538	8.5	-0.7	88	acunaro01	RonaldÿAcunaÿJr.	RonaldÿAcunaÿJr.	RonaldÿAcunaÿJr	ronaldacunajr
5	WillyÿAdames	27	MIL	149	638	-5	-3	0	8	9	10	1	21	31	3	0.507	0.506	2.2	1.7	23	adamewi01	WillyÿAdames	WillyÿAdames	WillyÿAdames	willyadames
6	JordynÿAdams	23	LAA	17	40	-6	-1	0	-1	0	-8	-0.9	1	-7	-0.7	0.45	0.495	-0.6	-0.1	-6	adamsjo03	JordynÿAdams	JordynÿAdams	JordynÿAdams	jordynadams
7	RileyÿAdams	27	WSN	44	158	3	-1	-1	1	3	5	0.5	5	11	1	0.512	0.503	1	0.4	10	adamsri03	RileyÿAdams	RileyÿAdams	RileyÿAdams	rileyadams
8	TyÿAdcock	26	SEA	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	adcocty01	TyÿAdcock	TyÿAdcock	TyÿAdcock	tyadcock
9	JoÿAdell	24	LAA	17	62	-2	0	0	3	0	1	0.1	2	3	0.3	0.507	0.501	0	0.3	0	adelljo01	JoÿAdell	JoÿAdell	JoÿAdell	joadell
10	EhireÿAdrianza#	33	ATL	5	11	-2	0	0	-1	0	-3	-0.3	0	-3	-0.3	0.432	0.498	-0.2	-0.1	-2	adriaeh01	EhireÿAdrianza#	EhireÿAdrianza	EhireÿAdrianza	ehireadrianza
11	Jes£sÿAguilar	33	OAK	36	115	-3	-1	-1	-3	-2	-9	-0.9	4	-5	-0.6	0.474	0.494	-0.3	-0.5	-2	aguilje01	JesusÿAguilar	JesusÿAguilar	JesusÿAguilar	jesusaguilar
12	NickÿAhmed	33	ARI	72	210	-14	1	1	1	3	-8	-0.8	7	-1	-0.1	0.489	0.495	-0.2	0.4	-2	ahmedni01	NickÿAhmed	NickÿAhmed	NickÿAhmed	nickahmed
13	HanserÿAlberto	30	CHW	30	90	-3	0	1	1	1	0	0	3	3	0.3	0.499	0.5	0.2	0.2	2	alberha01	HanserÿAlberto	HanserÿAlberto	HanserÿAlberto	hanseralberto
14	OzzieÿAlbies#	26	ATL	148	660	16	5	1	0	5	27	2.7	21	49	4.7	0.518	0.517	4.7	0.5	49	albieoz01	OzzieÿAlbies#	OzzieÿAlbies	OzzieÿAlbies	ozziealbies
